,tP,tI,G,P,Target,dt,tIn,tOff,TotalEnergy,TotalEIrr,ITarget,ITargetDay
1872,2023-04-14 00:00:00,2023-04-14 00:00:00,0.0,0.0,0.0,17.333333333333332,2023-04-14,2023-04-14 17:20:00,2774.600000000035,3.781016296296296,3.288281079365079,0.0
1873,2023-04-14 00:10:00,2023-04-14 00:10:00,0.0,0.0,0.0,17.333333333333332,2023-04-14,2023-04-14 17:20:00,2774.600000000035,3.781016296296296,3.288281079365079,0.0
1874,2023-04-14 00:20:00,2023-04-14 00:20:00,0.0,0.0,0.0,17.333333333333332,2023-04-14,2023-04-14 17:20:00,2774.600000000035,3.781016296296296,3.288281079365079,0.0
1875,2023-04-14 00:30:00,2023-04-14 00:30:00,0.0,0.0,0.0,17.333333333333332,2023-04-14,2023-04-14 17:20:00,2774.600000000035,3.781016296296296,3.288281079365079,0.0
1876,2023-04-14 00:40:00,2023-04-14 00:40:00,0.0,0.0,0.0,17.333333333333332,2023-04-14,2023-04-14 17:20:00,2774.600000000035,3.781016296296296,3.288281079365079,0.0
1877,2023-04-14 00:50:00,2023-04-14 00:50:00,0.0,0.0,0.0,17.333333333333332,2023-04-14,2023-04-14 17:20:00,2774.600000000035,3.781016296296296,3.288281079365079,0.0
1878,2023-04-14 01:00:00,2023-04-14 01:00:00,0.0,0.0,0.0,17.333333333333332,2023-04-14,2023-04-14 17:20:00,2774.600000000035,3.781016296296296,3.288281079365079,0.0
1879,2023-04-14 01:10:00,2023-04-14 01:10:00,0.0,0.0,0.0,17.333333333333332,2023-04-14,2023-04-14 17:20:00,2774.600000000035,3.781016296296296,3.288281079365079,0.0
1880,2023-04-14 01:20:00,2023-04-14 01:20:00,0.0,0.0,0.0,17.333333333333332,2023-04-14,2023-04-14 17:20:00,2774.600000000035,3.781016296296296,3.288281079365079,0.0
1881,2023-04-14 01:30:00,2023-04-14 01:30:00,0.0,0.0,0.0,17.333333333333332,2023-04-14,2023-04-14 17:20:00,2774.600000000035,3.781016296296296,3.288281079365079,0.0
1882,2023-04-14 01:40:00,2023-04-14 01:40:00,0.0,0.0,0.0,17.333333333333332,2023-04-14,2023-04-14 17:20:00,2774.600000000035,3.781016296296296,3.288281079365079,0.0
1883,2023-04-14 01:50:00,2023-04-14 01:50:00,0.0,0.0,0.0,17.333333333333332,2023-04-14,2023-04-14 17:20:00,2774.600000000035,3.781016296296296,3.288281079365079,0.0
1884,2023-04-14 02:00:00,2023-04-14 02:00:00,0.0,0.0,0.0,17.333333333333332,2023-04-14,2023-04-14 17:20:00,2774.600000000035,3.781016296296296,3.288281079365079,0.0
1885,2023-04-14 02:10:00,2023-04-14 02:10:00,0.0,0.0,0.0,17.333333333333332,2023-04-14,2023-04-14 17:20:00,2774.600000000035,3.781016296296296,3.288281079365079,0.0
1886,2023-04-14 02:20:00,2023-04-14 02:20:00,0.0,0.0,0.0,17.333333333333332,2023-04-14,2023-04-14 17:20:00,2774.600000000035,3.781016296296296,3.288281079365079,0.0
1887,2023-04-14 02:30:00,2023-04-14 02:30:00,0.0,0.0,0.0,17.333333333333332,2023-04-14,2023-04-14 17:20:00,2774.600000000035,3.781016296296296,3.288281079365079,0.0
1888,2023-04-14 02:40:00,2023-04-14 02:40:00,0.0,0.0,0.0,17.333333333333332,2023-04-14,2023-04-14 17:20:00,2774.600000000035,3.781016296296296,3.288281079365079,0.0
1889,2023-04-14 02:50:00,2023-04-14 02:50:00,0.0,0.0,0.0,17.333333333333332,2023-04-14,2023-04-14 17:20:00,2774.600000000035,3.781016296296296,3.288281079365079,0.0
1890,2023-04-14 03:00:00,2023-04-14 03:00:00,0.0,0.0,0.0,17.333333333333332,2023-04-14,2023-04-14 17:20:00,2774.600000000035,3.781016296296296,3.288281079365079,0.0
1891,2023-04-14 03:10:00,2023-04-14 03:10:00,0.0,0.0,0.0,17.333333333333332,2023-04-14,2023-04-14 17:20:00,2774.600000000035,3.781016296296296,3.288281079365079,0.0
1892,2023-04-14 03:20:00,2023-04-14 03:20:00,0.0,0.0,0.0,17.333333333333332,2023-04-14,2023-04-14 17:20:00,2774.600000000035,3.781016296296296,3.288281079365079,0.0
1893,2023-04-14 03:30:00,2023-04-14 03:30:00,0.0,0.0,0.0,17.333333333333332,2023-04-14,2023-04-14 17:20:00,2774.600000000035,3.781016296296296,3.288281079365079,0.0
1894,2023-04-14 03:40:00,2023-04-14 03:40:00,0.0,0.0,0.0,17.333333333333332,2023-04-14,2023-04-14 17:20:00,2774.600000000035,3.781016296296296,3.288281079365079,0.0
1895,2023-04-14 03:50:00,2023-04-14 03:50:00,0.0,0.0,0.0,17.333333333333332,2023-04-14,2023-04-14 17:20:00,2774.600000000035,3.781016296296296,3.288281079365079,0.0
1896,2023-04-14 04:00:00,2023-04-14 04:00:00,0.0,0.0,0.0,17.333333333333332,2023-04-14,2023-04-14 17:20:00,2774.600000000035,3.781016296296296,3.288281079365079,0.0
1897,2023-04-14 04:10:00,2023-04-14 04:10:00,0.0,0.0,0.0,17.333333333333332,2023-04-14,2023-04-14 17:20:00,2774.600000000035,3.781016296296296,3.288281079365079,0.0
1898,2023-04-14 04:20:00,2023-04-14 04:20:00,0.0,0.0,0.0,17.333333333333332,2023-04-14,2023-04-14 17:20:00,2774.600000000035,3.781016296296296,3.288281079365079,0.0
1899,2023-04-14 04:30:00,2023-04-14 04:30:00,0.0,0.0,0.0,17.333333333333332,2023-04-14,2023-04-14 17:20:00,2774.600000000035,3.781016296296296,3.288281079365079,0.0
1900,2023-04-14 04:40:00,2023-04-14 04:40:00,0.0,0.0,0.0,17.333333333333332,2023-04-14,2023-04-14 17:20:00,2774.600000000035,3.781016296296296,3.288281079365079,0.0
1901,2023-04-14 04:50:00,2023-04-14 04:50:00,0.0,0.0,0.0,17.333333333333332,2023-04-14,2023-04-14 17:20:00,2774.600000000035,3.781016296296296,3.288281079365079,0.0
1902,2023-04-14 05:00:00,2023-04-14 05:00:00,0.0,0.0,0.0,17.333333333333332,2023-04-14,2023-04-14 17:20:00,2774.600000000035,3.781016296296296,3.288281079365079,0.0
1903,2023-04-14 05:10:00,2023-04-14 05:10:00,0.0,0.0,0.0,17.333333333333332,2023-04-14,2023-04-14 17:20:00,2774.600000000035,3.781016296296296,3.288281079365079,0.0
1904,2023-04-14 05:20:00,2023-04-14 05:20:00,0.0,0.0,0.0,17.333333333333332,2023-04-14,2023-04-14 17:20:00,2774.600000000035,3.781016296296296,3.288281079365079,0.0
1905,2023-04-14 05:30:00,2023-04-14 05:30:00,0.0,0.0,0.0,17.333333333333332,2023-04-14,2023-04-14 17:20:00,2774.600000000035,3.781016296296296,3.288281079365079,0.0
1906,2023-04-14 05:40:00,2023-04-14 05:40:00,0.0,0.0,0.0,17.333333333333332,2023-04-14,2023-04-14 17:20:00,2774.600000000035,3.781016296296296,3.288281079365079,0.0
1907,2023-04-14 05:50:00,2023-04-14 05:50:00,0.0,0.0,0.0,17.333333333333332,2023-04-14,2023-04-14 17:20:00,2774.600000000035,3.781016296296296,3.288281079365079,0.0
1908,2023-04-14 06:00:00,2023-04-14 06:00:00,0.0,0.0,0.0,17.333333333333332,2023-04-14,2023-04-14 17:20:00,2774.600000000035,3.781016296296296,3.288281079365079,0.0
1909,2023-04-14 06:10:00,2023-04-14 06:10:00,0.2,0.0,0.19431870977376,17.333333333333332,2023-04-14,2023-04-14 17:20:00,2774.600000000035,3.781016296296296,3.288281079365079,0.0
1910,2023-04-14 06:20:00,2023-04-14 06:20:00,0.7,0.0,0.6777610865625598,17.333333333333332,2023-04-14,2023-04-14 17:20:00,2774.600000000035,3.781016296296296,3.288281079365079,0.0
1911,2023-04-14 06:30:00,2023-04-14 06:30:00,1.1,0.0,1.06135336829808,17.333333333333332,2023-04-14,2023-04-14 17:20:00,2774.600000000035,3.781016296296296,3.288281079365079,0.0
1912,2023-04-14 06:40:00,2023-04-14 06:40:00,4.7,0.0,4.536454292575921,17.333333333333332,2023-04-14,2023-04-14 17:20:00,2774.600000000035,3.781016296296296,3.288281079365079,0.0
1913,2023-04-14 06:50:00,2023-04-14 06:50:00,9.7,4.35,9.378782109702719,17.333333333333332,2023-04-14,2023-04-14 17:20:00,2774.600000000035,3.781016296296296,3.288281079365079,0.0
1914,2023-04-14 07:00:00,2023-04-14 07:00:00,23.8,8.7,22.995847231156798,17.333333333333332,2023-04-14,2023-04-14 17:20:00,2774.600000000035,3.781016296296296,3.288281079365079,0.0
1915,2023-04-14 07:10:00,2023-04-14 07:10:00,23.8,12.1,23.043876943127042,17.333333333333332,2023-04-14,2023-04-14 17:20:00,2774.600000000035,3.781016296296296,3.288281079365079,0.42000000000000004
1916,2023-04-14 07:20:00,2023-04-14 07:20:00,31.450000000000003,18.5,30.51430522280712,17.333333333333332,2023-04-14,2023-04-14 17:20:00,2774.600000000035,3.781016296296296,3.288281079365079,2.02
1917,2023-04-14 07:30:00,2023-04-14 07:30:00,39.1,24.9,38.01560974589664,17.333333333333332,2023-04-14,2023-04-14 17:20:00,2774.600000000035,3.781016296296296,3.288281079365079,6.0
1918,2023-04-14 07:40:00,2023-04-14 07:40:00,75.8,103.8,73.72327529348495,17.333333333333332,2023-04-14,2023-04-14 17:20:00,2774.600000000035,3.781016296296296,3.288281079365079,18.32
1919,2023-04-14 07:50:00,2023-04-14 07:50:00,148.2,165.4,142.24555528696655,17.333333333333332,2023-04-14,2023-04-14 17:20:00,2774.600000000035,3.781016296296296,3.288281079365079,34.66
1920,2023-04-14 08:00:00,2023-04-14 08:00:00,220.6,159.0,208.91714419399818,17.333333333333332,2023-04-14,2023-04-14 17:20:00,2774.600000000035,3.781016296296296,3.288281079365079,53.760000000000005
1921,2023-04-14 08:10:00,2023-04-14 08:10:00,202.39999999999998,150.7,191.37466550977632,17.333333333333332,2023-04-14,2023-04-14 17:20:00,2774.600000000035,3.781016296296296,3.288281079365079,79.3
1922,2023-04-14 08:20:00,2023-04-14 08:20:00,184.2,170.9,173.88727973046144,17.333333333333332,2023-04-14,2023-04-14 17:20:00,2774.600000000035,3.781016296296296,3.288281079365079,111.94000000000001
1923,2023-04-14 08:30:00,2023-04-14 08:30:00,221.4,222.7,208.11098571367106,17.333333333333332,2023-04-14,2023-04-14 17:20:00,2774.600000000035,3.781016296296296,3.288281079365079,135.48
1924,2023-04-14 08:40:00,2023-04-14 08:40:00,191.2,148.1,180.10952182574206,17.333333333333332,2023-04-14,2023-04-14 17:20:00,2774.600000000035,3.781016296296296,3.288281079365079,165.9
1925,2023-04-14 08:50:00,2023-04-14 08:50:00,315.1,268.5,294.49115913511014,17.333333333333332,2023-04-14,2023-04-14 17:20:00,2774.600000000035,3.781016296296296,3.288281079365079,181.72
1926,2023-04-14 09:00:00,2023-04-14 09:00:00,439.0,287.3,407.0391915580847,17.333333333333332,2023-04-14,2023-04-14 17:20:00,2774.600000000035,3.781016296296296,3.288281079365079,205.73999999999995
1927,2023-04-14 09:10:00,2023-04-14 09:10:00,235.0,180.5,219.94619179104,17.333333333333332,2023-04-14,2023-04-14 17:20:00,2774.600000000035,3.781016296296296,3.288281079365079,237.56000000000003
1928,2023-04-14 09:20:00,2023-04-14 09:20:00,355.5,240.8,333.2053904761296,17.333333333333332,2023-04-14,2023-04-14 17:20:00,2774.600000000035,3.781016296296296,3.288281079365079,306.73999999999995
1929,2023-04-14 09:30:00,2023-04-14 09:30:00,224.1,158.2,210.7996732816603,17.333333333333332,2023-04-14,2023-04-14 17:20:00,2774.600000000035,3.781016296296296,3.288281079365079,378.0
1930,2023-04-14 09:40:00,2023-04-14 09:40:00,163.9,118.9,154.94431260518496,17.333333333333332,2023-04-14,2023-04-14 17:20:00,2774.600000000035,3.781016296296296,3.288281079365079,428.24000000000007
1931,2023-04-14 09:50:00,2023-04-14 09:50:00,132.6,95.9,125.71137330193727,17.333333333333332,2023-04-14,2023-04-14 17:20:00,2774.600000000035,3.781016296296296,3.288281079365079,490.2
1932,2023-04-14 10:00:00,2023-04-14 10:00:00,178.8,142.8,171.31540482897987,17.333333333333332,2023-04-14,2023-04-14 17:20:00,2774.600000000035,3.781016296296296,3.288281079365079,507.52
1933,2023-04-14 10:10:00,2023-04-14 10:10:00,217.6,162.6,207.46659707744254,17.333333333333332,2023-04-14,2023-04-14 17:20:00,2774.600000000035,3.781016296296296,3.288281079365079,531.0199999999999
1934,2023-04-14 10:20:00,2023-04-14 10:20:00,206.3,107.1,195.92956409896584,17.333333333333332,2023-04-14,2023-04-14 17:20:00,2774.600000000035,3.781016296296296,3.288281079365079,548.9
1935,2023-04-14 10:30:00,2023-04-14 10:30:00,279.0,168.9,263.94279332335196,17.333333333333332,2023-04-14,2023-04-14 17:20:00,2774.600000000035,3.781016296296296,3.288281079365079,562.1600000000001
1936,2023-04-14 10:40:00,2023-04-14 10:40:00,294.3,244.0,277.9221475185012,17.333333333333332,2023-04-14,2023-04-14 17:20:00,2774.600000000035,3.781016296296296,3.288281079365079,580.3
1937,2023-04-14 10:50:00,2023-04-14 10:50:00,240.6,154.1,227.53425904898833,17.333333333333332,2023-04-14,2023-04-14 17:20:00,2774.600000000035,3.781016296296296,3.288281079365079,598.5
1938,2023-04-14 11:00:00,2023-04-14 11:00:00,175.3,135.4,166.1341292000676,17.333333333333332,2023-04-14,2023-04-14 17:20:00,2774.600000000035,3.781016296296296,3.288281079365079,616.3399999999999
1939,2023-04-14 11:10:00,2023-04-14 11:10:00,193.0,132.5,182.4542546235552,17.333333333333332,2023-04-14,2023-04-14 17:20:00,2774.600000000035,3.781016296296296,3.288281079365079,614.3799999999999
1940,2023-04-14 11:20:00,2023-04-14 11:20:00,154.8,122.2,147.69525860945856,17.333333333333332,2023-04-14,2023-04-14 17:20:00,2774.600000000035,3.781016296296296,3.288281079365079,577.78
1941,2023-04-14 11:30:00,2023-04-14 11:30:00,230.4,173.0,218.50811480070146,17.333333333333332,2023-04-14,2023-04-14 17:20:00,2774.600000000035,3.781016296296296,3.288281079365079,631.3
1942,2023-04-14 11:40:00,2023-04-14 11:40:00,350.1,369.9,328.73281035535507,17.333333333333332,2023-04-14,2023-04-14 17:20:00,2774.600000000035,3.781016296296296,3.288281079365079,624.28
1943,2023-04-14 11:50:00,2023-04-14 11:50:00,337.5,241.3,314.0639194492799,17.333333333333332,2023-04-14,2023-04-14 17:20:00,2774.600000000035,3.781016296296296,3.288281079365079,631.1600000000001
1944,2023-04-14 12:00:00,2023-04-14 12:00:00,201.8,130.7,189.82317745755938,17.333333333333332,2023-04-14,2023-04-14 17:20:00,2774.600000000035,3.781016296296296,3.288281079365079,610.0600000000001
1945,2023-04-14 12:10:00,2023-04-14 12:10:00,122.3,90.2,115.24717297109015,17.333333333333332,2023-04-14,2023-04-14 17:20:00,2774.600000000035,3.781016296296296,3.288281079365079,564.88
1946,2023-04-14 12:20:00,2023-04-14 12:20:00,155.5,114.2,147.16020220026837,17.333333333333332,2023-04-14,2023-04-14 17:20:00,2774.600000000035,3.781016296296296,3.288281079365079,552.86
1947,2023-04-14 12:30:00,2023-04-14 12:30:00,886.6999999999999,180.0,880.5990342263399,17.333333333333332,2023-04-14,2023-04-14 17:20:00,2774.600000000035,3.781016296296296,3.288281079365079,538.14
1948,2023-04-14 12:40:00,2023-04-14 12:40:00,857.9333333333333,240.7,852.0302974669199,17.333333333333332,2023-04-14,2023-04-14 17:20:00,2774.600000000035,3.781016296296296,3.288281079365079,513.8
1949,2023-04-14 12:50:00,2023-04-14 12:50:00,306.1,253.4,285.15320628033106,17.333333333333332,2023-04-14,2023-04-14 17:20:00,2774.600000000035,3.781016296296296,3.288281079365079,457.22499999999997
1950,2023-04-14 13:00:00,2023-04-14 13:00:00,407.1,315.1,380.337054280326,17.333333333333332,2023-04-14,2023-04-14 17:20:00,2774.600000000035,3.781016296296296,3.288281079365079,476.21999999999997
1951,2023-04-14 13:10:00,2023-04-14 13:10:00,255.0,189.3,237.978877881888,17.333333333333332,2023-04-14,2023-04-14 17:20:00,2774.600000000035,3.781016296296296,3.288281079365079,384.86
1952,2023-04-14 13:20:00,2023-04-14 13:20:00,308.5,268.6,289.36044305934485,17.333333333333332,2023-04-14,2023-04-14 17:20:00,2774.600000000035,3.781016296296296,3.288281079365079,481.02
1953,2023-04-14 13:30:00,2023-04-14 13:30:00,368.1,284.2,342.9104711917342,17.333333333333332,2023-04-14,2023-04-14 17:20:00,2774.600000000035,3.781016296296296,3.288281079365079,478.64
1954,2023-04-14 13:40:00,2023-04-14 13:40:00,336.9,301.8,313.6188973877388,17.333333333333332,2023-04-14,2023-04-14 17:20:00,2774.600000000035,3.781016296296296,3.288281079365079,377.64
1955,2023-04-14 13:50:00,2023-04-14 13:50:00,488.5,443.1,453.75692680323715,17.333333333333332,2023-04-14,2023-04-14 17:20:00,2774.600000000035,3.781016296296296,3.288281079365079,375.35
1956,2023-04-14 14:00:00,2023-04-14 14:00:00,683.1,720.9,619.5824826482492,17.333333333333332,2023-04-14,2023-04-14 17:20:00,2774.600000000035,3.781016296296296,3.288281079365079,411.41999999999996
1957,2023-04-14 14:10:00,2023-04-14 14:10:00,560.7,498.7,504.03765654562324,17.333333333333332,2023-04-14,2023-04-14 17:20:00,2774.600000000035,3.781016296296296,3.288281079365079,407.30000000000007
1958,2023-04-14 14:20:00,2023-04-14 14:20:00,552.6,378.2,503.1684829304734,17.333333333333332,2023-04-14,2023-04-14 17:20:00,2774.600000000035,3.781016296296296,3.288281079365079,372.64
1959,2023-04-14 14:30:00,2023-04-14 14:30:00,544.5,362.7,502.1113274804484,17.333333333333332,2023-04-14,2023-04-14 17:20:00,2774.600000000035,3.781016296296296,3.288281079365079,384.94
1960,2023-04-14 14:40:00,2023-04-14 14:40:00,355.2,279.7,326.59235473303295,17.333333333333332,2023-04-14,2023-04-14 17:20:00,2774.600000000035,3.781016296296296,3.288281079365079,359.98
1961,2023-04-14 14:50:00,2023-04-14 14:50:00,596.5,397.0,548.2575349697162,17.333333333333332,2023-04-14,2023-04-14 17:20:00,2774.600000000035,3.781016296296296,3.288281079365079,341.32
1962,2023-04-14 15:00:00,2023-04-14 15:00:00,383.95,261.6,353.7371058144323,17.333333333333332,2023-04-14,2023-04-14 17:20:00,2774.600000000035,3.781016296296296,3.288281079365079,318.7
1963,2023-04-14 15:10:00,2023-04-14 15:10:00,171.4,150.8,158.28731182280015,17.333333333333332,2023-04-14,2023-04-14 17:20:00,2774.600000000035,3.781016296296296,3.288281079365079,289.52
1964,2023-04-14 15:20:00,2023-04-14 15:20:00,529.6,387.9,483.650909151696,17.333333333333332,2023-04-14,2023-04-14 17:20:00,2774.600000000035,3.781016296296296,3.288281079365079,263.82
1965,2023-04-14 15:30:00,2023-04-14 15:30:00,887.8,625.0,801.6653551326076,17.333333333333332,2023-04-14,2023-04-14 17:20:00,2774.600000000035,3.781016296296296,3.288281079365079,243.1
1966,2023-04-14 15:40:00,2023-04-14 15:40:00,498.3,402.0,446.09998386929976,17.333333333333332,2023-04-14,2023-04-14 17:20:00,2774.600000000035,3.781016296296296,3.288281079365079,214.04000000000002
1967,2023-04-14 15:50:00,2023-04-14 15:50:00,693.5,580.5,625.7498972765039,17.333333333333332,2023-04-14,2023-04-14 17:20:00,2774.600000000035,3.781016296296296,3.288281079365079,181.52
1968,2023-04-14 16:00:00,2023-04-14 16:00:00,816.7,594.5,737.1888093299902,17.333333333333332,2023-04-14,2023-04-14 17:20:00,2774.600000000035,3.781016296296296,3.288281079365079,151.34
1969,2023-04-14 16:10:00,2023-04-14 16:10:00,703.8,508.5,639.3045808597219,17.333333333333332,2023-04-14,2023-04-14 17:20:00,2774.600000000035,3.781016296296296,3.288281079365079,113.8
1970,2023-04-14 16:20:00,2023-04-14 16:20:00,702.6,511.4,636.5603476879731,17.333333333333332,2023-04-14,2023-04-14 17:20:00,2774.600000000035,3.781016296296296,3.288281079365079,87.5
1971,2023-04-14 16:30:00,2023-04-14 16:30:00,692.2,531.1,629.4660403408977,17.333333333333332,2023-04-14,2023-04-14 17:20:00,2774.600000000035,3.781016296296296,3.288281079365079,59.6
1972,2023-04-14 16:40:00,2023-04-14 16:40:00,649.7,482.6,593.0030249414013,17.333333333333332,2023-04-14,2023-04-14 17:20:00,2774.600000000035,3.781016296296296,3.288281079365079,34.9
1973,2023-04-14 16:50:00,2023-04-14 16:50:00,601.3,442.9,549.6356893583555,17.333333333333332,2023-04-14,2023-04-14 17:20:00,2774.600000000035,3.781016296296296,3.288281079365079,9.28
1974,2023-04-14 17:00:00,2023-04-14 17:00:00,584.4,284.2,536.3498988940435,17.333333333333332,2023-04-14,2023-04-14 17:20:00,2774.600000000035,3.781016296296296,3.288281079365079,3.3600000000000008
1975,2023-04-14 17:10:00,2023-04-14 17:10:00,465.8,377.9,429.2246914809797,17.333333333333332,2023-04-14,2023-04-14 17:20:00,2774.600000000035,3.781016296296296,3.288281079365079,0.9
1976,2023-04-14 17:20:00,2023-04-14 17:20:00,434.9,312.4,400.60473005865305,17.333333333333332,2023-04-14,2023-04-14 17:20:00,2774.600000000035,3.781016296296296,3.288281079365079,0.08
